source_taxon_name,target_taxon_name
Elsinoe quercus-ilicis,Quercus ilex
Lachnum fuscescens fuscescens,Quercus ilex
Ascochyta quercus-ilicis,Quercus ilex
Niptera muelleri-argoviensis,Quercus ilex
Amanita ovoidea,Quercus ilex
Helminthosporium microsorum,Quercus ilex
Lanzia coracina,Quercus ilex
Coleophoma cylindrospora,Quercus ilex
Phomopsis glandicola,Quercus ilex
Diplocladiella scalaroides,Quercus ilex
Epibelonium gaeumannii,Quercus ilex
Russula stenotricha,Quercus ilex
Coryneum elevatum,Quercus ilex
Microthyrium ilicinum,Quercus ilex
Hypoderma ilicinum,Quercus ilex
Cronartium quercuum,Quercus lobata
Cronartium quercuum,Quercus macranthera
Pisolithus arhizus,Quercus oleoides
Pisolithus arhizus,Quercus oleoides
Lactarius indigo,Quercus oleoides
Lactarius indigo,Quercus oocarpa
Macrophoma nitens,Quercus palustris
Erysiphe alphitoides,Quercus petraea
Calycellina punctata,Quercus petraea
Pseudoinonotus dryadeus,Quercus petraea
Cronartium quercuum,Quercus petraea
Boletus armeniacus,Quercus petraea
Corticium quercicola,Quercus petraea
Microthyrium ilicinum,Quercus petraea
Erysiphe alphitoides,Quercus pubescens
Pleospora herbarum,Quercus pubescens
Septoria quercicola,Quercus robur
Cortinarius sanguineus,Quercus robur
Erysiphe alphitoides,Quercus robur
Calycellina punctata,Quercus robur
Fomes fomentarius,Quercus robur
Hygrophorus chrysodon,Quercus robur
Podoscypha multizonata,Quercus robur
Gibberella pulicaris,Quercus robur
Mycosphaerella punctiformis,Quercus robur
Pseudoinonotus dryadeus,Quercus robur
Cephalotheca sulfurea,Quercus robur
Morchella esculenta,Quercus robur
Phlebia lilascens,Quercus robur
Phanerochaete velutina,Quercus robur
Hypochnicium subrigescens,Quercus robur
Peniophora polygonia,Quercus robur
Cronartium quercuum,Quercus robur
Lachnum soppittii,Quercus robur
Phomopsis quercina,Quercus robur
Steccherinum ochraceum,Quercus robur
Crustomollisia roburnea,Quercus robur
Marasmius setosus,Quercus robur
Septoria quercina,Quercus robur
Microthyrium microscopicum,Quercus robur
Graddonidiscus coruscatus,Quercus robur
Valsa intermedia,Quercus robur
Athelopsis lembospora,Quercus robur
Hypospilina pustula,Quercus robur
Corticium quercicola,Quercus robur
Diplocladiella scalaroides,Quercus robur
Trechispora stellulata,Quercus robur
Dendrothele commixta,Quercus robur
Crustomyces subabruptus,Quercus robur
Hericium cirrhatum,Quercus robur
Phellinus torulosus,Quercus robur
Microthyrium ilicinum,Quercus robur
Erysiphe alphitoides,Quercus rubra
Calycellina punctata,Quercus rubra
Chalara kendrickii,Quercus rubra
Taphrina caerulescens,Quercus rubra
Daldinia fissa,Quercus rubra
Lachnum soppittii,Quercus rubra
Phomopsis quercina,Quercus rubra
Crustomollisia roburnea,Quercus rubra
Microthyrium microscopicum,Quercus rubra
Graddonidiscus coruscatus,Quercus rubra
Hypospilina pustula,Quercus rubra
Hysterostegiella quercea,Quercus rubra
Hypoderma ilicinum,Quercus rubra
Tricholoma magnivelare,Quercus scytophylla
Biscogniauxia mediterranea,Quercus suber
Engyodontium rectidentatum,Quercus suber
Lentomitella cirrhosa,Quercus
Camaropella lutea,Quercus
Hilberina caudata,Quercus
Echinosphaeria canescens,Quercus
Immersiella caudata,Quercus
Infundibulicybe geotropa,Quercus
Lasiosphaeris hirsuta,Quercus
Annulohypoxylon multiforme,Quercus
Nemania serpens,Quercus
Hygrophorus eburneus,Quercus
Mollisia cinerea,Quercus
Boletus pseudoregius,Quercus
Pluteus leoninus,Quercus
Coniophora arida,Quercus
Pluteus umbrosus,Quercus
Polyporus brumalis,Quercus
Inocybe muricellata,Quercus
Bulgaria inquinans,Quercus
Pluteus petasatus,Quercus
Pluteus pellitus,Quercus
Valsa cypri,Quercus
Pluteus salicinus,Quercus
Septoria quercicola,Quercus
Geastrum coronatum,Quercus
Hygrophorus cossus,Quercus
Phleogena faginea,Quercus
Ganoderma lucidum,Quercus
Cantharellus amethysteus,Quercus
Cortinarius spilomeus,Quercus
Hypocrea schweinitzii,Quercus
Boletus aereus,Quercus
Tricholoma columbetta,Quercus
Auricularia mesenterica,Quercus
Russula farinipes,Quercus
Lactarius quietus,Quercus
Battarrea phalloides,Quercus
Panus conchatus,Quercus
Cortinarius stillatitius,Quercus
Cortinarius orellanus,Quercus
Boletus appendiculatus,Quercus
Cortinarius rufo-olivaceus,Quercus
Lactarius piperatus,Quercus
Hysterium pulicare,Quercus
Scleroderma citrinum,Quercus
Trichoderma viride,Quercus
Amanita virosa,Quercus
Russula albonigra,Quercus
Cortinarius torvus,Quercus
Geastrum quadrifidum,Quercus
Orbilia vinosa,Quercus
Amanita pantherina,Quercus
Cortinarius praestans,Quercus
Cortinarius ochroleucus,Quercus
Russula aeruginea,Quercus
Lactarius pallidus,Quercus
Amanita porphyria,Quercus
Boletus calopus,Quercus
Armillaria mellea,Quercus
Hymenogaster olivaceus,Quercus
Phaeolus schweinitzii,Quercus
Erysiphe alphitoides,Quercus
Hebeloma pallidoluctuosum,Quercus
Cortinarius triumphans,Quercus
Russula cyanoxantha,Quercus
Kirschsteiniothelia aethiops,Quercus
Clitocybe odora,Quercus
Lactarius subdulcis,Quercus
Russula raoultii,Quercus
Tricholoma ustale,Quercus
Russula nigricans,Quercus
Lactarius violascens,Quercus
Entoloma sinuatum,Quercus
Trametes hirsuta,Quercus
Antrodia albida,Quercus
Lactarius tabidus,Quercus
Russula brunneoviolacea,Quercus
Lactarius citriolens,Quercus
Calocera viscosa,Quercus
Hericium erinaceus,Quercus
Russula exalbicans,Quercus
Podoscypha multizonata,Quercus
Cortinarius vernus,Quercus
Psathyrella conopilus,Quercus
Polyporus durus,Quercus
Colpoma quercinum,Quercus
Monodictys castaneae,Quercus
Dictyosporium toruloides,Quercus
Pleurophoma pleurospora,Quercus
Tylopilus felleus,Quercus
Clitocybe vibecina,Quercus
Antrodiella onychoides,Quercus
Hypoxylon howeanum,Quercus
Inonotus hispidus,Quercus
Gloniopsis praelonga,Quercus
Pholiota mixta,Quercus
Amanita phalloides,Quercus
Trematosphaeria pertusa,Quercus
Russula lilacea,Quercus
Russula densifolia,Quercus
Russula delica,Quercus
Scleroderma cepa,Quercus
Rhodotus palmatus,Quercus
Lycoperdon mammiforme,Quercus
Cortinarius alboviolaceus,Quercus
Lactarius uvidus,Quercus
Lasiosphaeria ovina,Quercus
Russula olivacea,Quercus
Cortinarius biformis,Quercus
Diatrypella quercina,Quercus
Russula aquosa,Quercus
Lactarius volemus,Quercus
Phellodon niger,Quercus
Russula amoenolens,Quercus
Tricholoma ustaloides,Quercus
Granulobasidium vellereum,Quercus
Hymenoscyphus epiphyllus,Quercus
Byssomerulius corium,Quercus
Tubulicium vermiferum,Quercus
Hymenoscyphus caudatus,Quercus
Dichomitus campestris,Quercus
Lactarius stephensii,Quercus
Lachnum virgineum,Quercus
Lactarius azonites,Quercus
Ramaria flava,Quercus
Daedaleopsis confragosa,Quercus
Cortinarius hinnuleus,Quercus
Trechispora nivea,Quercus
Hymenogaster vulgaris,Quercus
Psathyrella piluliformis,Quercus
Melanomma pulvis-pyrius,Quercus
Mucronella calva,Quercus
Stictis radiata,Quercus
Boletus rubellus,Quercus
Melanogaster ambiguus,Quercus
Lactarius mairei,Quercus
Apiognomonia errabunda,Quercus
Cortinarius croceus,Quercus
Cortinarius balaustinus,Quercus
Hysterium angustatum,Quercus
Chaetosphaeria myriocarpa,Quercus
Cortinarius trivialis,Quercus
Phellodon confluens,Quercus
Megacollybia platyphylla,Quercus
Coltricia perennis,Quercus
Pseudovalsa longipes,Quercus
Cephalotheca sulfurea,Quercus
Boletus pulverulentus,Quercus
Inocybe adaequata,Quercus
Lactarius camphoratus,Quercus
Inocybe rimosa,Quercus
Tulasnella pruinosa,Quercus
Russula velenovskyi,Quercus
Antrodia xantha,Quercus
Lactarius glaucescens,Quercus
Dactylaria purpurella,Quercus
Khuskia oryzae,Quercus
Valsaria insitiva,Quercus
Psathyrella lutensis,Quercus
Amphiporthe leiphaemia,Quercus
Trichocladium opacum,Quercus
Exophiala calicioides,Quercus
Polyscytalum fecundissimum,Quercus
Russula risigallina,Quercus
Amanita ceciliae,Quercus
Chalara affinis,Quercus
Discosia artocreas,Quercus
Diplococcium spicatum,Quercus
Cortinarius purpurascens,Quercus
Lactarius zonarius,Quercus
Melanochaeta aotearoae,Quercus
Coniochaeta ligniaria,Quercus
Hydnum repandum,Quercus
Postia tephroleuca,Quercus
Oudemansiella mucida,Quercus
Ramichloridium anceps,Quercus
Russula rosea,Quercus
Tricholoma fulvum,Quercus
Russula violeipes,Quercus
Lactarius pterosporus,Quercus
Lactarius acris,Quercus
Gymnopilus penetrans,Quercus
Laccaria amethystina,Quercus
Cortinarius spadicellus,Quercus
Vuilleminia comedens,Quercus
Phellodon melaleucus,Quercus
Lycoperdon echinatum,Quercus
Hydnellum concrescens,Quercus
Asterostroma laxum,Quercus
Gymnopus fusipes,Quercus
Russula parazurea,Quercus
Grifola frondosa,Quercus
Russula atropurpurea,Quercus
Pleurotus cornucopiae,Quercus
Amanita franchetii,Quercus
Cortinarius xanthophyllus,Quercus
Bolbitius reticulatus,Quercus
Gyroporus cyanescens,Quercus
Gyroporus castaneus,Quercus
Ceriporia viridans,Quercus
Pluteus thomsonii,Quercus
Cortinarius magicus,Quercus
Resupinatus trichotis,Quercus
Tubeufia cerea,Quercus
Simocybe sumptuosa,Quercus
Phlebia rufa,Quercus
Leccinum atrostipitatum,Quercus
Hydnellum spongiosipes,Quercus
Gymnopilus junonius,Quercus
Pellidiscus pallidus,Quercus
Hymenoscyphus immutabilis,Quercus
Ceriporiopsis gilvescens,Quercus
Calocybe ionides,Quercus
Botryobasidium aureum,Quercus
Radulomyces molaris,Quercus
Ascocoryne sarcoides,Quercus
Hyphodontia subalutacea,Quercus
Hyphodontia quercina,Quercus
Basidioradulum radula,Quercus
Basidiodendron rimosum,Quercus
Tricladium castaneicola,Quercus
Skeletocutis nivea,Quercus
Vibrissea flavovirens,Quercus
Rutstroemia firma,Quercus
Mycoaciella bispora,Quercus
Leucogyrophana romellii,Quercus
Lactarius romagnesii,Quercus
Gnomonia alni-viridis,Quercus
Aureoboletus gentilis,Quercus
Cortinarius variiformis,Quercus
Coriolopsis gallica,Quercus
Clitopilus hobsonii,Quercus
Chaetosphaeria preussii,Quercus
Bisporella citrina,Quercus
Junghuhnia nitida,Quercus
Eichleriella deglubens,Quercus
Cortinarius gracilior,Quercus
Byssocorticium efibulatum,Quercus
Russula odorata,Quercus
Hohenbuehelia unguicularis,Quercus
Volvariella bombycina,Quercus
Phanerochaete sordida,Quercus
Laetiporus sulphureus,Quercus
Lactarius ruginosus,Quercus
Lactarius evosmus,Quercus
Gloeoporus pannocinctus,Quercus
Lactarius lacunarum,Quercus
Chaetosphaeria inaequalis,Quercus
Chaetosphaerella phaeostroma,Quercus
Cortinarius betuletorum,Quercus
Russula melzeri,Quercus
Cortinarius rubicundulus,Quercus
Chlorociboria aeruginosa,Quercus
Ceraceomyces sublaevis,Quercus
Botryobasidium candicans,Quercus
Ceratocystis moniliformis,Quercus
Rutstroemia petiolorum,Quercus
Psathyrella frustulenta,Quercus
Cortinarius semisanguineus,Quercus
Cortinarius olivaceofuscus,Quercus
Arachnocrea stipata,Quercus
Coniochaeta velutina,Quercus
Coniochaeta pulveracea,Quercus
Ciboria batschiana,Quercus
Chlorociboria aeruginascens,Quercus
Perenniporia fraxinea,Quercus
Spadicoides atra,Quercus
Spadicoides bina,Quercus
Omphalotus olearius,Quercus
Emericella quadrilineata,Quercus
Calycellina populina,Quercus
Botryotinia fuckeliana,Quercus
Xerula caussei,Quercus
Boletus fechtneri,Quercus
Tricholoma caligatum,Quercus
Xylaria polymorpha,Quercus
Clavicorona pyxidata,Quercus
Cortinarius balteatocumatilis,Quercus
Valsa ceratosperma,Quercus
Tricholomopsis rutilans,Quercus
Cyphellopsis anomala,Quercus
Valsa ambiens,Quercus
Helminthosporium velutinum,Quercus
Dacrymyces minor,Quercus
Taphrina caerulescens,Quercus
Daedalea quercina,Quercus
Inocybe oblectabilis,Quercus
Mycena maculata,Quercus
Inocybe praetervisa,Quercus
Mycena cinerella,Quercus
Inocybe squamata,Quercus
Cronartium quercuum,Quercus
Lactarius chrysorrheus,Quercus
Lactarius acerrimus,Quercus
Tricholoma album,Quercus
Pseudovalsa umbonata,Quercus
Cortinarius largus,Quercus
Sarcodon scabrosus,Quercus
Marasmius androsaceus,Quercus
Sparassis spathulata,Quercus
Mycena haematopus,Quercus
Hymenogaster arenarius,Quercus
Lachnum bicolor,Quercus
Pholiota aurivella,Quercus
Diatrypella favacea,Quercus
Lactarius fluens,Quercus
Cudoniella acicularis,Quercus
Ganoderma pfeifferi,Quercus
Mycena amicta,Quercus
Exidia glandulosa,Quercus
Pholiota tuberculosa,Quercus
Cortinarius delibutus,Quercus
Cortinarius lucorum,Quercus
Russula maculata,Quercus
Cortinarius bolaris,Quercus
Elaphomyces granulatus,Quercus
Chaetosphaeria innumera,Quercus
Amanita fulva,Quercus
Boletus satanas,Quercus
Lachnum pygmaeum,Quercus
Hymenochaete rubiginosa,Quercus
Russula sororia,Quercus
Cortinarius anthracinus,Quercus
Inocybe calamistrata,Quercus
Chaetosphaeria callimorpha,Quercus
Coniophora olivacea,Quercus
Russula subfoetens,Quercus
Clypeosphaeria mamillana,Quercus
Cortinarius bulliardii,Quercus
Russula pseudointegra,Quercus
Russula virescens,Quercus
Scleroderma areolatum,Quercus
Amanita gemmata,Quercus
Boletus regius,Quercus
Polyporus tuberaster,Quercus
Cinereomyces lindbladii,Quercus
Boletus reticulatus,Quercus
Polyporus melanopus,Quercus
Farlowiella carmichaeliana,Quercus
Cylindrium elongatum,Quercus
Diatrype stigma,Quercus
Boletus pruinatus,Quercus
Cortinarius cinnamomeus,Quercus
Cortinarius cinnabarinus,Quercus
Boletus radicans,Quercus
Russula fellea,Quercus
Stereum gausapatum,Quercus
Tricholoma acerbum,Quercus
Botryosphaeria quercuum,Quercus
Menispora ciliata,Quercus
Russula vesca,Quercus
Lactarius serifluus,Quercus
Apiosporopsis carpinea,Quercus
Inocybe fraudans,Quercus
Fusidium griseum,Quercus
Russula foetens,Quercus
Mycena polygramma,Quercus
Fistulina hepatica,Quercus
Paxillus involutus,Quercus
Lactarius subumbonatus,Quercus
Phylloporus pelletieri,Quercus
Pezicula cinnamomea,Quercus
Russula insignis,Quercus
Pilidium acerinum,Quercus
Cortinarius subbalaustinus,Quercus
Polyporus leptocephalus,Quercus
Leccinum aurantiacum,Quercus
Bjerkandera fumosa,Quercus
Inonotus cuticularis,Quercus
Hydnellum scrobiculatum,Quercus
Cortinarius aureomarginatus,Quercus
Hypoxylon fragiforme,Quercus
Coccomyces dentatus,Quercus
Arachnopeziza aurata,Quercus
Tricholoma equestre,Quercus
Hericium americanum,Quercus
Russula heterophylla,Quercus
Ganoderma resinaceum,Quercus
Phomopsis quercina,Quercus
Tomentella punicea,Quercus
Eutypa flavovirens,Quercus
Hypochnicium erikssonii,Quercus
Geastrum lageniforme,Quercus
Ganoderma applanatum,Quercus
Scutellinia scutellata,Quercus
Hymenoscyphus fructigenus,Quercus
Armillaria mellea,Quercus
Patellaria atrata,Quercus
Columnosphaeria fagi,Quercus
Nectria episphaeria,Quercus
Tylopilus porphyrosporus,Quercus
Craterellus tubaeformis,Quercus
Boletus luridiformis,Quercus
Stereum rameale,Quercus
Heterobasidion annosum,Quercus
Xerocomellus engelii utara,Quercus
Euepixylon udum,Quercus
Armillaria mellea,Quercus
Cortinarius fulvo-ochrascens cyanophyllus,Quercus
Cornuvesica falcata,Quercus
Lactarius rubrocinctus,Quercus
Postia subcaesia,Quercus
Hygrophorus discoxanthus,Quercus
Agrocybe cylindracea,Quercus
Armillaria tabescens,Quercus
Amanita excelsa spissa,Quercus
Talaromyces flavus,Quercus
Lactarius rimosellus,Quercus
Lactarius indigo,Quercus
Lactarius deceptivus,Quercus
Lactarius costaricensis,Quercus
Lactarius vellereus,Quercus
Russula rhodomelanea,Quercus
Russula fragilis fragilis,Quercus
Rozites colombiana,Quercus
Cortinarius vulpinus vulpinus,Quercus
Inocybe bongardii,Quercus
Inocybe corydalina corydalina,Quercus
Laccaria gomezii,Quercus
Bovista fusca,Quercus
Amanita vaginata,Quercus
Collybia distorta,Quercus
Mycena adonis coccinea,Quercus
Boletellus ananas,Quercus
Boletus flavoruber,Quercus
Boletus quercophilus,Quercus
Boletus neoregius,Quercus
Boletus luridiformis discolor,Quercus
Boletus luridus luridus,Quercus
Leccinum monticola,Quercus
Craterellus boyacensis,Quercus
Cantharellus cibarius,Quercus
Mariannaea elegans,Quercus
Chloridium virescens virescens,Quercus
Calycellina myriadea,Quercus
Hyaloscypha quercicola,Quercus
Russula poichilochroa,Quercus
Russula cicatricata,Quercus
Phlebiella pseudotsugae,Quercus
Phlebiopsis ravenelii,Quercus
Hemimycena cephalotricha,Quercus
Inocybe proximella,Quercus
Leccinum pseudoscabrum,Quercus
Cortinarius phaeophyllus,Quercus
Melanomma fuscidulum,Quercus
Durella commutata,Quercus
Tulasnella cystidiophora,Quercus
Pocillum cesatii,Quercus
Niptera muelleri-argoviensis,Quercus
Sistotrema hispanicum,Quercus
Durella macrospora,Quercus
Mollisia ligni,Quercus
Cortinarius tabularis,Quercus
Mollisia spectabilis,Quercus
Cantharellus melanoxeros,Quercus
Chaetomium crispatum,Quercus
Orbilia xanthostigma,Quercus
Boletus armeniacus,Quercus
Typhula erythropus,Quercus
Rosellinia thelena,Quercus
Exidiopsis effusa,Quercus
Chaetosphaeria cupulifera,Quercus
Mollisia caespiticia,Quercus
Endophragmiella ovoidea,Quercus
Lachnum capitatum,Quercus
Incrucipulum ciliare,Quercus
Schizophyllum commune,Quercus
Boletus impolitus,Quercus
Cephalotheca reniformis,Quercus
Lophiostoma nucula,Quercus
Calosphaeria cyclospora,Quercus
Pezizella parilis,Quercus
Ditiola peziziformis,Quercus
Boletus legaliae,Quercus
Lophodermium petiolicola,Quercus
Pleurothecium recurvatum,Quercus
Nemania confluens,Quercus
Cytospora ceratophora,Quercus
Mollisia discolor,Quercus
Caryospora callicarpa,Quercus
Trichosphaeria notabilis,Quercus
Hyalopeziza ciliata,Quercus
Marasmius bulliardii,Quercus
Exidia nucleata,Quercus
Naevala perexigua,Quercus
Phaeohelotium italicum,Quercus
Phialina lachnobrachya,Quercus
Polydesmia fructicola,Quercus
Taeniolella pulvillus,Quercus
Haglundia elegantior,Quercus
Hydropus floccipes,Quercus
Mycocalia sphagneti,Quercus
Rubinoboletus rubinus,Quercus
Boletus pseudosulphureus,Quercus
Venturiocistella diversipila,Quercus
Russula aurora,Quercus
Mycena dasypus,Quercus
Hemimycena mauretanica,Quercus
Mycena inclinata,Quercus
Valsa intermedia,Quercus
Boletus moravicus,Quercus
Mollisina rubi,Quercus
Trametes pubescens,Quercus
Meripilus giganteus,Quercus
Triposporium elegans,Quercus
Boletus xanthocyaneus,Quercus
Enchnoa infernalis,Quercus
Stictis friabilis,Quercus
Inocybe furfurea,Quercus
Resupinatus poriaeformis,Quercus
Cryptocoryneum condensatum,Quercus
Costantinella terrestris,Quercus
Coccomyces coronatus,Quercus
Virgaria nigra,Quercus
Xylohypha ferruginosa,Quercus
Taeniolina scripta,Quercus
Cryptocline cinerascens,Quercus
Cordana pauciseptata,Quercus
Dactylosporium macropus,Quercus
Gonatobotryum fuscum,Quercus
Phaeostalagmus cyclosporus,Quercus
Sporidesmium hormiscioides,Quercus
Camposporium pellucidum,Quercus
Bactrodesmium obovatum,Quercus
Bactrodesmium abruptum,Quercus
Phomopsis glandicola,Quercus
Mollisia rabenhorstii,Quercus
Triblidium caliciforme,Quercus
Pyrenopeziza nervicola,Quercus
Dactylaria chrysosperma,Quercus
Boletus ripariellus,Quercus
Simocybe haustellaris,Quercus
Endophragmiella corticola,Quercus
Dictyochaeta querna,Quercus
Postia ceriflua,Quercus
Postia balsamea,Quercus
Persiciospora masonii,Quercus
Mycena diosma,Quercus
Lactarius bertillonii,Quercus
Diplodiella fibricola,Quercus
Actinocladium rhodosporum,Quercus
Phaeostalagmus tenuissimus,Quercus
Russula pseudoaffinis,Quercus
Bisporella sulfurina,Quercus
Corticium quercicola,Quercus
Amanita lividopallescens,Quercus
Sphaeronaema rostratum,Quercus
Septotrullula bacilligera,Quercus
Monodictys lepraria,Quercus
Sporidesmium folliculatum,Quercus
Lylea tetracoila,Quercus
Camarosporium oreades,Quercus
Bispora antennata,Quercus
Trichothecium roseum,Quercus
Scopinella caulincola,Quercus
Corynesporopsis quercicola,Quercus
Sarcodon regalis,Quercus
Caudospora taleola,Quercus
Boletus cisalpinus,Quercus
Brachysporium nigrum,Quercus
Aurantiporus fissilis,Quercus
Radulodon aneirinus,Quercus
Hypholoma lateritium,Quercus
Entoloma viridans,Quercus
Cylindrium aeruginosum,Quercus
Russula rutila,Quercus
Stypella subhyalina,Quercus
Stypella crystallina,Quercus
Lichenopeltella nigroannulata,Quercus
Hymenoscyphus albopunctus,Quercus
Panellus serotinus,Quercus
Patinellaria sanguinea,Quercus
Pseudombrophila ramosa,Quercus
Mitrophora patula,Quercus
Lachnum crystallinum,Quercus
Hymenoscyphus phyllophilus,Quercus
Mycena polyadelpha,Quercus
Hapalopilus nidulans,Quercus
Cortinarius galeobdolon,Quercus
